"LineNumber","HeaderLevel","TitleText","FullLine"
"1","2","第1篇","## 第1篇 大数据测试基础（入门）"
"17","3","第1章","### 第1章 大数据与大数据系统概述【入门】"
"23","4","1.1","#### 1.1 大数据概念与特点"
"31","5","1.1.2","##### 1.1.2 5V 特性"
"48","4","1.2","#### 1.2 大数据系统典型架构与组件"
"79","4","1.3","#### 1.3 测试数据管理与生成方法"
"103","4","1.4","#### 1.4 大数据应用场景与业务价值"
"105","5","1.4.1","##### 1.4.1 典型应用场景"
"166","4","1.5","#### 1.5 大数据测试环境与安全考虑"
"174","5","1.5.1","##### 1.5.1 复现与对账"
"190","5","1.5.2","##### 1.5.2 对架构与测试的影响"
"210","4","1.6","#### 1.6 本章小结"
"226","3","第2章","### 第2章 大数据测试概念与目标【基础篇】"
"251","4","2.1","#### 2.1 术语与边界（精炼版）"
"257","4","2.2","#### 2.2 测试类型矩阵（增补）"
"263","4","2.3","#### 2.3 RACI 与质量门（增补）"
"269","5","2.1.2","##### 2.1.2 大数据测试的对象"
"287","4","2.4","#### 2.4 大数据测试的目标与衡量指标"
"289","5","2.2.1","##### 2.2.1 测试目标"
"299","5","2.2.2","##### 2.2.2 衡量指标"
"309","5","2.2.3","##### 2.2.3 通用质量门模板（示例）"
"335","4","2.5","#### 2.5 大数据测试的特点与挑战"
"338","5","2.3.1","##### 2.3.1 主要特点"
"347","5","2.3.2","##### 2.3.2 典型挑战"
"371","5","2.4.1","##### 2.4.1 生命周期各阶段的测试关注点"
"394","5","2.4.2","##### 2.4.2 测试与其他角色协作"
"412","5","2.5.1","##### 2.5.1 能力模型结构"
"424","5","2.5.2","##### 2.5.2 能力成长建议"
"446","3","第3章","### 第3章 大数据技术生态与架构基础【技术基础篇】"
"460","4","3.1","#### 3.1 大数据技术生态系统层次"
"462","5","3.1.1","##### 3.1.1 生态系统分层"
"472","5","3.1.2","##### 3.1.2 生态系统演进趋势"
"488","4","3.2","#### 3.2 主流大数据技术栈（Hadoop/Spark/流批一体等）"
"490","5","3.2.1","##### 3.2.1 Hadoop 生态"
"498","5","3.2.2","##### 3.2.2 Spark 生态"
"506","5","3.2.3","##### 3.2.3 流批一体与新一代技术"
"514","5","3.2.4","##### 3.2.4 云原生与托管服务"
"527","4","3.3","#### 3.3 大数据架构设计原则"
"529","5","3.3.1","##### 3.3.1 架构设计核心原则"
"537","5","3.3.2","##### 3.3.2 架构设计常见模式"
"554","4","3.4","#### 3.4 大数据基础设施与云平台概览"
"556","5","3.4.1","##### 3.4.1 基础设施类型"
"563","5","3.4.2","##### 3.4.2 云平台能力"
"570","5","3.4.3","##### 3.4.3 云原生趋势"
"585","4","3.5","#### 3.5 技术选型与测试关注点"
"587","5","3.5.1","##### 3.5.1 技术选型的关键考量"
"595","5","3.5.2","##### 3.5.2 测试关注点"
"616","4","3.6","#### 3.6 本章小结"
"636","3","第4章","### 第4章 大数据测试环境搭建基础【环境与运维篇】"
"650","4","4.1","#### 4.1 测试环境类型与特点（开发/测试/预生产/生产镜像）"
"652","5","4.1.1","##### 4.1.1 常见环境类型"
"671","5","4.1.2","##### 4.1.2 环境隔离与切换"
"686","4","4.2","#### 4.2 测试环境需求分析与容量规划"
"688","5","4.2.1","##### 4.2.1 需求分析维度"
"696","5","4.2.2","##### 4.2.2 容量规划方法"
"704","5","4.2.3","##### 4.2.3 典型容量规划清单"
"721","4","4.3","#### 4.3 测试环境搭建流程与常用工具"
"723","5","4.3.1","##### 4.3.1 搭建流程"
"733","5","4.3.2","##### 4.3.2 常用工具与平台"
"751","4","4.4","#### 4.4 多集群、多租户环境管理"
"753","5","4.4.1","##### 4.4.1 多集群场景"
"759","5","4.4.2","##### 4.4.2 多租户管理"
"764","5","4.4.3","##### 4.4.3 管理策略"
"779","4","4.5","#### 4.5 测试环境维护与变更控制"
"781","5","4.5.1","##### 4.5.1 日常维护内容"
"788","5","4.5.2","##### 4.5.2 变更控制流程"
"794","5","4.5.3","##### 4.5.3 常见维护难点与建议"
"809","4","4.6","#### 4.6 本章小结"
"830","3","第5章","### 第5章 大数据测试数据管理基础【数据管理篇】"
"844","4","5.1","#### 5.1 测试数据需求分析"
"846","5","5.1.1","##### 5.1.1 测试数据的核心作用"
"852","5","5.1.2","##### 5.1.2 需求分析的关键维度"
"869","4","5.2","#### 5.2 测试数据设计与生成方法（采样/合成/脱敏）"
"871","5","5.2.1","##### 5.2.1 生产数据采样"
"879","5","5.2.2","##### 5.2.2 数据合成与造数"
"888","5","5.2.3","##### 5.2.3 数据脱敏与伪造"
"893","5","5.2.4","##### 5.2.4 数据生成的常见误区"
"909","4","5.3","#### 5.3 测试数据管理策略（版本、归档、回放）"
"911","5","5.3.1","##### 5.3.1 数据版本管理"
"916","5","5.3.2","##### 5.3.2 数据归档与回放"
"922","5","5.3.3","##### 5.3.3 数据生命周期管理"
"936","4","5.4","#### 5.4 测试数据安全与隐私保护"
"938","5","5.4.1","##### 5.4.1 安全与合规风险"
"944","5","5.4.2","##### 5.4.2 保护措施"
"951","5","5.4.3","##### 5.4.3 合规要求"
"965","4","5.5","#### 5.5 测试数据管理平台与工具"
"967","5","5.5.1","##### 5.5.1 常见平台与工具类型"
"975","5","5.5.2","##### 5.5.2 平台化趋势"
"990","4","5.6","#### 5.6 本章小结"
"1015","2","第2篇","## 第2篇 大数据测试方法与技术（进阶）"
"1017","3","第6章","### 第6章 数据采集测试【采集与链路起点】"
"1031","4","6.1","#### 6.1 数据采集测试概述"
"1033","5","6.1.1","##### 6.1.1 数据采集在大数据系统中的地位"
"1040","5","6.1.2","##### 6.1.2 采集测试的核心关注点"
"1058","4","6.2","#### 6.2 批处理数据采集测试方法"
"1060","5","6.2.1","##### 6.2.1 批采集场景"
"1066","5","6.2.2","##### 6.2.2 测试方法"
"1085","4","6.3","#### 6.3 流处理数据采集测试技术"
"1087","5","6.3.1","##### 6.3.1 流采集场景"
"1092","5","6.3.2","##### 6.3.2 测试方法"
"1111","4","6.4","#### 6.4 Web/日志等数据采集测试"
"1113","5","6.4.1","##### 6.4.1 Web采集与日志采集特点"
"1118","5","6.4.2","##### 6.4.2 测试方法"
"1135","4","6.5","#### 6.5 数据源连接与配置测试"
"1137","5","6.5.1","##### 6.5.1 连接测试"
"1174","4","6.6","#### 6.6 数据格式与协议验证"
"1177","5","6.6.1","##### 6.6.1 格式验证"
"1183","5","6.6.2","##### 6.6.2 协议兼容性"
"1191","5","6.6.3","##### 6.6.3 边界与异常场景"
"1215","4","6.7","#### 6.7 数据采集测试工具与框架"
"1217","5","6.7.1","##### 6.7.1 常用工具"
"1225","5","6.7.2","##### 6.7.2 自动化与监控"
"1231","5","6.7.3","##### 6.7.3 平台化趋势"
"1245","4","6.8","#### 6.8 数据采集测试最佳实践"
"1247","5","6.8.1","##### 6.8.1 测试流程建议"
"1255","5","6.8.2","##### 6.8.2 常见易错点"
"1262","5","6.8.3","##### 6.8.3 能力建设建议"
"1281","3","第7章","### 第7章 数据存储与持久化测试【存储与可靠性篇】"
"1295","4","7.1","#### 7.1 数据存储测试概述"
"1297","5","7.1.1","##### 7.1.1 存储在大数据系统中的作用"
"1303","5","7.1.2","##### 7.1.2 存储测试的核心目标"
"1320","4","7.2","#### 7.2 分布式文件系统测试（HDFS 等）"
"1322","5","7.2.1","##### 7.2.1 典型分布式文件系统"
"1326","5","7.2.2","##### 7.2.2 测试关注点"
"1336","5","7.2.3","##### 7.2.3 典型用例"
"1353","4","7.3","#### 7.3 关系型数据库存储测试"
"1355","5","7.3.1","##### 7.3.1 常见场景"
"1359","5","7.3.2","##### 7.3.2 测试关注点"
"1369","5","7.3.3","##### 7.3.3 典型用例"
"1386","4","7.4","#### 7.4 NoSQL 数据库测试（键值/列式/文档/图数据库）"
"1388","5","7.4.1","##### 7.4.1 NoSQL 类型与应用"
"1395","5","7.4.2","##### 7.4.2 测试关注点"
"1403","5","7.4.3","##### 7.4.3 典型用例"
"1419","4","7.5","#### 7.5 数据仓库与湖仓一体存储测试"
"1421","5","7.5.1","##### 7.5.1 数据仓库与湖仓一体"
"1426","5","7.5.2","##### 7.5.2 测试关注点"
"1435","5","7.5.3","##### 7.5.3 典型用例"
"1453","4","7.6","#### 7.6 存储一致性、可靠性与备份恢复测试"
"1455","5","7.6.1","##### 7.6.1 一致性测试"
"1461","5","7.6.2","##### 7.6.2 可靠性与容灾测试"
"1467","5","7.6.3","##### 7.6.3 备份与恢复测试"
"1483","4","7.7","#### 7.7 存储测试工具与方法总结"
"1485","5","7.7.1","##### 7.7.1 常用工具"
"1494","5","7.7.2","##### 7.7.2 方法总结"
"1513","3","第8章","### 第8章 数据处理与计算测试【计算与作业篇】"
"1527","4","8.1","#### 8.1 数据处理测试概述"
"1529","5","8.1.1","##### 8.1.1 数据处理在大数据系统中的作用"
"1535","5","8.1.2","##### 8.1.2 数据处理测试的核心目标"
"1552","4","8.2","#### 8.2 批处理作业测试方法（ETL/批计算）"
"1554","5","8.2.1","##### 8.2.1 典型批处理场景"
"1559","5","8.2.2","##### 8.2.2 测试方法"
"1577","4","8.3","#### 8.3 流处理作业测试技术（实时/准实时）"
"1579","5","8.3.1","##### 8.3.1 典型流处理场景"
"1584","5","8.3.2","##### 8.3.2 测试方法"
"1602","4","8.4","#### 8.4 机器学习与模型训练管道测试"
"1604","5","8.4.1","##### 8.4.1 ML管道测试的特殊性"
"1610","5","8.4.2","##### 8.4.2 测试方法"
"1628","4","8.5","#### 8.5 数据处理性能与扩展性测试"
"1630","5","8.5.1","##### 8.5.1 性能测试关注点"
"1636","5","8.5.2","##### 8.5.2 扩展性测试方法"
"1654","4","8.6","#### 8.6 数据处理测试工具与自动化实践"
"1656","5","8.6.1","##### 8.6.1 常用工具与平台"
"1663","5","8.6.2","##### 8.6.2 自动化与平台化趋势"
"1679","4","8.7","#### 8.7 本章小结"
"1698","3","第9章","### 第9章 数据质量管理与测试【质量保障篇】"
"1712","4","9.1","#### 9.1 数据质量概念与重要性"
"1714","5","9.1.1","##### 9.1.1 什么是数据质量"
"1719","5","9.1.2","##### 9.1.2 数据质量的重要性"
"1734","4","9.2","#### 9.2 数据质量维度与指标体系（准确性/完整性/一致性/及时性等）"
"1736","5","9.2.1","##### 9.2.1 常见数据质量维度"
"1747","5","9.2.2","##### 9.2.2 数据质量指标体系"
"1767","4","9.3","#### 9.3 数据质量测试方法与技术"
"1769","5","9.3.1","##### 9.3.1 质量测试方法"
"1779","5","9.3.2","##### 9.3.2 自动化与平台化技术"
"1795","4","9.4","#### 9.4 数据质量监控与告警策略"
"1797","5","9.4.1","##### 9.4.1 监控体系建设"
"1803","5","9.4.2","##### 9.4.2 告警策略设计"
"1815","5","9.4.3","##### 9.4.3 异常处理流程"
"1830","4","9.5","#### 9.5 数据质量问题识别、定位与修复"
"1832","5","9.5.1","##### 9.5.1 问题识别与分级"
"1837","5","9.5.2","##### 9.5.2 根因分析与修复"
"1843","5","9.5.3","##### 9.5.3 缓解与预防"
"1858","4","9.6","#### 9.6 数据质量工具与实践案例"
"1860","5","9.6.1","##### 9.6.1 常用工具与平台"
"1868","5","9.6.2","##### 9.6.2 平台化与自动化趋势"
"1874","5","9.6.3","##### 9.6.3 实践案例举要"
"1889","4","9.7","#### 9.7 本章小结"
"1909","3","第10章","### 第10章 大数据安全与合规测试【安全与合规篇】"
"1923","4","10.1","#### 10.1 大数据安全概述"
"1925","5","10.1.1","##### 10.1.1 大数据安全的特殊性"
"1932","5","10.1.2","##### 10.1.2 主要安全风险"
"1938","4","10.2","#### 10.2 数据分级分类与脱敏策略（增补）"
"1944","4","10.3","#### 10.3 权限与访问控制（增补）"
"1950","4","10.4","#### 10.4 审计与合规工件（增补）"
"1956","4","10.5","#### 10.5 安全测试用例库与 CI 联动（增补）"
"1973","4","10.6","#### 10.6 安全测试类型与方法"
"1975","5","10.2.1","##### 10.2.1 安全测试类型"
"1984","5","10.2.2","##### 10.2.2 常用安全测试方法"
"2002","4","10.7","#### 10.7 身份认证与权限控制测试"
"2004","5","10.3.1","##### 10.3.1 身份认证测试"
"2010","5","10.3.2","##### 10.3.2 权限控制测试"
"2017","5","10.3.3","##### 10.3.3 典型用例"
"2034","5","10.4.1","##### 10.4.1 数据加密测试"
"2040","5","10.4.2","##### 10.4.2 数据脱敏与伪造测试"
"2047","5","10.4.3","##### 10.4.3 访问审计测试"
"2063","5","10.5.1","##### 10.5.1 主要法规与合规要求"
"2068","5","10.5.2","##### 10.5.2 合规测试关注点"
"2076","5","10.5.3","##### 10.5.3 合规测试方法"
"2093","5","10.6.1","##### 10.6.1 常用安全测试工具"
"2101","5","10.6.2","##### 10.6.2 平台化与自动化趋势"
"2107","5","10.6.3","##### 10.6.3 实践案例举要"
"2145","3","第11章","### 第11章 数据分析与可视化测试【分析与洞察篇】"
"2159","4","11.1","#### 11.1 数据分析测试概述"
"2161","5","11.1.1","##### 11.1.1 数据分析测试的定位"
"2168","5","11.1.2","##### 11.1.2 主要测试关注点"
"2184","4","11.2","#### 11.2 BI 报表测试（准确性、逻辑、性能）"
"2186","5","11.2.1","##### 11.2.1 报表测试的核心目标"
"2191","5","11.2.2","##### 11.2.2 测试方法"
"2199","5","11.2.3","##### 11.2.3 常见问题与建议"
"2206","4","11.3","#### 11.3A 指标口径一致性与审计（增补）"
"2212","4","11.4","#### 11.4B 抽样与偏差控制（增补）"
"2233","5","11.3.1","##### 11.3.1 可视化测试关注点"
"2241","5","11.3.2","##### 11.3.2 测试方法"
"2258","4","11.5","#### 11.5 数据挖掘与传统建模结果验证"
"2260","5","11.4.1","##### 11.4.1 挖掘与建模测试的特殊性"
"2266","5","11.4.2","##### 11.4.2 测试方法"
"2283","4","11.6","#### 11.6 AI/ML 分析模型测试（偏差、鲁棒性、漂移监控）"
"2285","5","11.5.1","##### 11.5.1 AI/ML 测试关注点"
"2292","5","11.5.2","##### 11.5.2 测试方法"
"2309","4","11.7","#### 11.7 数据分析测试工具与案例"
"2311","5","11.6.1","##### 11.6.1 常用工具"
"2318","5","11.6.2","##### 11.6.2 实践案例举要"
"2400","2","第3篇","## 第3篇 环境与数据治理（进阶）"
"2423","3","第12章","### 第12章 企业级大数据测试环境实践【环境工程与自动化】"
"2437","4","12.1","#### 12.1 多环境（开发/测试/预发/生产）架构设计"
"2439","5","12.1.1","##### 12.1.1 多环境架构的必要性"
"2445","5","12.1.2","##### 12.1.2 各环境的定位与特点"
"2453","5","12.1.3","##### 12.1.3 多环境架构设计要点"
"2471","4","12.2","#### 12.2 多集群与多地域部署下的测试环境策略"
"2473","5","12.2.1","##### 12.2.1 多集群场景"
"2479","5","12.2.2","##### 12.2.2 多地域部署"
"2505","4","12.3","#### 12.3 环境自动化与基础设施即代码（IaC）"
"2507","5","12.3.1","##### 12.3.1 自动化环境搭建的价值"
"2515","5","12.3.2","##### 12.3.2 常用自动化工具"
"2524","5","12.3.3","##### 12.3.3 自动化实践要点"
"2553","4","12.4","#### 12.4 环境隔离、配额与配比策略"
"2557","5","12.4.1","##### 12.4.1 环境隔离方式"
"2563","5","12.4.2","##### 12.4.2 配额与配比策略"
"2575","5","12.4.3","##### 12.4.3 管理与监控"
"2601","5","12.5.1","##### 12.5.1 环境监控体系"
"2613","5","12.5.2","##### 12.5.2 故障恢复策略"
"2622","5","12.5.3","##### 12.5.3 常见难点与建议"
"2643","4","12.5","#### 12.5 本章小结"
"2665","3","第13章","### 第13章 测试数据治理与生命周期管理【数据治理与可复现性】"
"2679","4","13.1","#### 13.1 测试数据治理概述"
"2681","5","13.1.1","##### 13.1.1 为什么需要测试数据治理"
"2687","5","13.1.2","##### 13.1.2 测试数据治理的核心目标"
"2703","4","13.2","#### 13.2 测试数据生命周期管理（生成/使用/归档/销毁）"
"2705","5","13.2.1","##### 13.2.1 生命周期四阶段"
"2712","5","13.2.2","##### 13.2.2 生命周期管理要点"
"2728","4","13.3","#### 13.3 敏感数据与隐私数据处理策略"
"2730","5","13.3.1","##### 13.3.1 敏感数据的风险与挑战"
"2736","5","13.3.2","##### 13.3.2 处理策略"
"2744","5","13.3.3","##### 13.3.3 合规与自动化"
"2759","4","13.4","#### 13.4 测试数据回放与可重复性保障"
"2761","5","13.4.1","##### 13.4.1 为什么要关注回放与可重复性"
"2766","5","13.4.2","##### 13.4.2 回放与可重复性实现方法"
"2774","5","13.4.3","##### 13.4.3 常见难点与建议"
"2790","4","13.5","#### 13.5 测试数据治理平台与工具链实践"
"2792","5","13.5.1","##### 13.5.1 平台与工具类型"
"2800","5","13.5.2","##### 13.5.2 平台化与自动化趋势"
"2807","5","13.5.3","##### 13.5.3 实践案例举要"
"2822","4","13.6","#### 13.6 本章小结"
"2848","2","第4篇","## 第4篇 自动化、工具与可观测性（进阶）"
"2891","3","第14章","### 第14章 数据契约、语义层与指标目录/血缘治理【治理到自动化的桥接】"
"2903","4","14.1","#### 14.1 数据契约与 schema 基线"
"2914","4","14.2","#### 14.2 schema 演进与兼容性回放"
"2923","5","14.2.1","##### 14.2.1 契约/兼容策略矩阵（示例）"
"2930","5","14.2.2","##### 14.2.2 契约评审清单（示例）"
"2941","4","14.3","#### 14.3 语义层与口径一致性验证"
"2952","5","14.3.1","##### 14.3.1 语义层口径卡片（示例）"
"2959","4","14.4","#### 14.4 契约破坏检测与告警"
"2972","4","14.5","#### 14.5 本章小结"
"2982","3","第15章","### 第15章 契约驱动的自动化基础【原则与成熟度】"
"2996","4","15.1","#### 15.1 自动化测试定义与价值"
"2998","5","15.1.1","##### 15.1.1 自动化测试的基本定义"
"3006","5","15.1.2","##### 15.1.2 自动化测试的核心价值"
"3021","4","15.2","#### 15.2 成熟度模型（L1–L5）"
"3031","4","15.3","#### 15.3 触发、回滚与误差预算"
"3039","4","15.4","#### 15.4 最小可行框架与示例"
"3049","4","15.5","#### 15.5 自动化测试类型与覆盖范围"
"3051","5","15.2.1","##### 15.2.1 大数据自动化测试的主要类型"
"3060","5","15.2.2","##### 15.2.2 覆盖范围与优先级"
"3077","4","15.6","#### 15.6 自动化测试成熟度模型"
"3079","5","15.3.1","##### 15.3.1 成熟度分级"
"3086","5","15.3.2","##### 15.3.2 成熟度提升路径"
"3103","5","15.4.1","##### 15.4.1 协同原则"
"3109","5","15.4.2","##### 15.4.2 协同实践"
"3134","5","15.5.1","##### 15.5.1 最小可行自动化流水线模板（示例）"
"3142","5","15.5.2","##### 15.5.2 通用质量门模板（示例）"
"3168","3","第16章","### 第16章 大数据测试自动化框架设计【工程化与平台化】"
"3182","4","16.1","#### 16.1 框架设计原则"
"3184","5","16.1.1","##### 16.1.1 通用性与可扩展性"
"3189","5","16.1.2","##### 16.1.2 解耦与分层"
"3194","5","16.1.3","##### 16.1.3 自动化与可观测"
"3201","5","16.1.4","##### 16.1.4 安全与合规"
"3214","4","16.2","#### 16.2 框架分层架构"
"3216","5","16.2.1","##### 16.2.1 典型分层结构"
"3225","5","16.2.2","##### 16.2.2 分层优势"
"3240","5","16.2.3","##### 16.2.3 分层职责与可观测钩子速览（示例）"
"3249","4","16.3","#### 16.3A 插件机制与扩展点（增补）"
"3255","4","16.4","#### 16.4A CLI 骨架与示例（增补）"
"3263","4","16.5","#### 16.5 数据驱动与关键字驱动设计"
"3265","5","16.3.1","##### 16.3.1 数据驱动（Data-Driven）"
"3270","5","16.3.2","##### 16.3.2 关键字驱动（Keyword-Driven）"
"3275","5","16.3.3","##### 16.3.3 结合实践"
"3294","5","16.4.1","##### 16.4.1 安全性设计"
"3299","5","16.4.2","##### 16.4.2 可观测性设计"
"3304","5","16.4.3","##### 16.4.3 常见实践"
"3320","4","16.6","#### 16.6 与 CI/CD 的集成设计"
"3322","5","16.5.1","##### 16.5.1 集成目标"
"3327","5","16.5.2","##### 16.5.2 集成方式"
"3335","5","16.5.3","##### 16.5.3 持续集成与持续交付实践"
"3369","3","第17章","### 第17章 大数据测试工具与平台【工具与平台篇】"
"3383","4","17.1","#### 17.1 功能测试工具与平台"
"3385","5","17.1.1","##### 17.1.1 常见功能测试工具"
"3392","5","17.1.2","##### 17.1.2 平台化趋势"
"3406","4","17.2","#### 17.2 性能与压力测试工具"
"3408","5","17.2.1","##### 17.2.1 性能测试工具类型"
"3414","5","17.2.2","##### 17.2.2 监控与分析工具"
